[2014-07-29 16:20:24] {'PlayerId':640002385,'time':'1406622024','sceneId':'0'}
[2014-07-29 16:47:10] {'PlayerId':640003021,'time':'1406623630','sceneId':'0'}
[2014-07-29 16:47:14] {'PlayerId':640003019,'time':'1406623634','sceneId':'0'}
[2014-07-29 16:50:45] {'PlayerId':640003021,'time':'1406623845','sceneId':'0'}
[2014-07-29 16:51:31] {'PlayerId':640003019,'time':'1406623891','sceneId':'0'}
[2014-07-29 16:54:06] {'PlayerId':640003019,'time':'1406624046','sceneId':'0'}
[2014-07-29 16:54:08] {'PlayerId':640003021,'time':'1406624048','sceneId':'0'}
[2014-07-29 16:54:37] {'PlayerId':640003019,'time':'1406624077','sceneId':'0'}
[2014-07-29 16:56:14] {'PlayerId':640003021,'time':'1406624174','sceneId':'0'}
[2014-07-29 16:58:18] {'PlayerId':640003019,'time':'1406624298','sceneId':'0'}
[2014-07-29 17:03:11] {'PlayerId':640003021,'time':'1406624591','sceneId':'0'}
[2014-07-29 17:06:30] {'PlayerId':640003019,'time':'1406624790','sceneId':'0'}
[2014-07-29 17:14:35] {'PlayerId':640003019,'time':'1406625275','sceneId':'0'}
[2014-07-29 17:14:49] {'PlayerId':640003019,'time':'1406625289','sceneId':'0'}
[2014-07-29 17:15:01] {'PlayerId':640003019,'time':'1406625301','sceneId':'0'}
[2014-07-29 17:15:14] {'PlayerId':640003019,'time':'1406625314','sceneId':'0'}
[2014-07-29 17:15:28] {'PlayerId':640003019,'time':'1406625328','sceneId':'0'}
[2014-07-29 17:15:42] {'PlayerId':640003019,'time':'1406625342','sceneId':'0'}
[2014-07-29 17:16:20] {'PlayerId':640003019,'time':'1406625380','sceneId':'0'}
[2014-07-29 17:16:44] {'PlayerId':640003019,'time':'1406625404','sceneId':'0'}
[2014-07-29 17:17:08] {'PlayerId':640003022,'time':'1406625428','sceneId':'0'}
[2014-07-29 17:17:15] {'PlayerId':640003019,'time':'1406625435','sceneId':'0'}
[2014-07-29 17:17:58] {'PlayerId':640003019,'time':'1406625478','sceneId':'0'}
[2014-07-29 17:19:17] {'PlayerId':640003021,'time':'1406625557','sceneId':'0'}
[2014-07-29 17:19:33] {'PlayerId':640003021,'time':'1406625573','sceneId':'0'}
[2014-07-29 17:19:47] {'PlayerId':640003021,'time':'1406625587','sceneId':'0'}
[2014-07-29 17:20:05] {'PlayerId':640003021,'time':'1406625605','sceneId':'0'}
[2014-07-29 17:20:24] {'PlayerId':640003021,'time':'1406625624','sceneId':'0'}
[2014-07-29 17:20:43] {'PlayerId':640003021,'time':'1406625643','sceneId':'0'}
